天数,销量
2020-10-31,6
2020-11-01,0
2020-11-02,1
2020-11-03,3
2020-11-04,0
2020-11-05,1
2020-11-06,0
2020-11-07,0
2020-11-08,1
2020-11-09,0
2020-11-10,3
2020-11-11,11
2020-11-12,0
2020-11-13,0
2020-11-14,0
2020-11-15,1
2020-11-16,1
2020-11-17,0
2020-11-18,1
2020-11-19,1
2020-11-20,1
2020-11-21,0
2020-11-22,0
2020-11-23,1
2020-11-24,0
2020-11-25,0
2020-11-26,0
2020-11-27,0
2020-11-28,0
2020-11-29,1
2020-11-30,2
2020-12-01,1
2020-12-02,0
2020-12-03,0
2020-12-04,0
2020-12-05,1
2020-12-06,0
2020-12-07,2
2020-12-08,2
2020-12-09,0
2020-12-10,0
2020-12-11,1
2020-12-12,4
2020-12-13,0
2020-12-14,1
2020-12-15,0
2020-12-16,1
2020-12-17,2
2020-12-18,0
2020-12-19,0
2020-12-20,2
2020-12-21,0
2020-12-22,0
2020-12-23,0
2020-12-24,0
2020-12-25,0
2020-12-26,1
