天数,销量
2019-02-18,1
2019-02-19,0
2019-02-20,0
2019-02-21,0
2019-02-22,1
2019-02-23,1
2019-02-24,0
2019-02-25,0
2019-02-26,0
2019-02-27,0
2019-02-28,0
2019-03-01,0
2019-03-02,1
2019-03-03,0
2019-03-04,0
2019-03-05,0
2019-03-06,0
2019-03-07,6
2019-03-08,1
2019-03-09,2
2019-03-10,0
2019-03-11,0
2019-03-12,0
2019-03-13,0
2019-03-14,0
2019-03-15,1
2019-03-16,1
2019-03-17,1
2019-03-18,0
2019-03-19,0
2019-03-20,0
2019-03-21,0
2019-03-22,0
2019-03-23,0
2019-03-24,0
2019-03-25,0
2019-03-26,0
2019-03-27,0
2019-03-28,0
2019-03-29,0
2019-03-30,0
2019-03-31,0
2019-04-01,0
2019-04-02,0
2019-04-03,0
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,0
2019-04-08,0
2019-04-09,0
2019-04-10,0
2019-04-11,0
2019-04-12,0
2019-04-13,0
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,0
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,0
2019-04-28,0
2019-04-29,0
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,1
2019-05-04,0
2019-05-05,2
2019-05-06,0
2019-05-07,0
2019-05-08,1
2019-05-09,0
2019-05-10,0
2019-05-11,0
2019-05-12,0
2019-05-13,1
2019-05-14,0
2019-05-15,0
2019-05-16,0
2019-05-17,0
2019-05-18,1
2019-05-19,1
2019-05-20,0
2019-05-21,1
2019-05-22,0
2019-05-23,0
2019-05-24,0
2019-05-25,0
2019-05-26,0
2019-05-27,0
2019-05-28,0
2019-05-29,0
2019-05-30,0
2019-05-31,0
2019-06-01,0
2019-06-02,0
2019-06-03,0
2019-06-04,0
2019-06-05,0
2019-06-06,0
2019-06-07,0
2019-06-08,0
2019-06-09,0
2019-06-10,1
2019-06-11,0
2019-06-12,0
2019-06-13,0
2019-06-14,1
2019-06-15,8
2019-06-16,7
2019-06-17,1
2019-06-18,6
2019-06-19,9
2019-06-20,1
2019-06-21,2
2019-06-22,0
2019-06-23,0
2019-06-24,0
2019-06-25,1
2019-06-26,0
2019-06-27,2
2019-06-28,0
2019-06-29,0
2019-06-30,0
2019-07-01,0
2019-07-02,0
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-07-20,0
2019-07-21,0
2019-07-22,0
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-27,0
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,1
2019-08-02,1
2019-08-03,0
2019-08-04,0
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,1
2019-08-09,1
2019-08-10,1
2019-08-11,1
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,2
2019-08-17,0
2019-08-18,1
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-24,1
2019-08-25,1
2019-08-26,2
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,2
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,3
2019-09-06,0
2019-09-07,0
2019-09-08,1
2019-09-09,1
2019-09-10,0
2019-09-11,1
2019-09-12,0
2019-09-13,0
2019-09-14,0
2019-09-15,0
2019-09-16,0
2019-09-17,3
2019-09-18,1
2019-09-19,1
2019-09-20,1
2019-09-21,0
2019-09-22,0
2019-09-23,1
2019-09-24,0
2019-09-25,1
2019-09-26,0
2019-09-27,1
2019-09-28,7
2019-09-29,1
2019-09-30,3
2019-10-01,3
2019-10-02,0
2019-10-03,1
2019-10-04,1
2019-10-05,1
2019-10-06,3
2019-10-07,3
2019-10-08,1
