天数,销量
2019-04-19,1
2019-04-20,0
2019-04-21,0
2019-04-22,0
2019-04-23,0
2019-04-24,1
2019-04-25,2
2019-04-26,0
2019-04-27,0
2019-04-28,1
2019-04-29,0
2019-04-30,0
2019-05-01,2
2019-05-02,0
2019-05-03,1
2019-05-04,0
2019-05-05,0
2019-05-06,0
2019-05-07,0
2019-05-08,1
2019-05-09,0
2019-05-10,0
2019-05-11,0
2019-05-12,0
2019-05-13,0
2019-05-14,1
2019-05-15,1
2019-05-16,0
2019-05-17,0
2019-05-18,0
2019-05-19,0
2019-05-20,0
2019-05-21,0
2019-05-22,0
2019-05-23,1
2019-05-24,0
2019-05-25,1
2019-05-26,0
2019-05-27,1
2019-05-28,1
2019-05-29,0
2019-05-30,0
2019-05-31,1
2019-06-01,0
2019-06-02,0
2019-06-03,2
2019-06-04,0
2019-06-05,0
2019-06-06,1
2019-06-07,0
2019-06-08,1
2019-06-09,0
2019-06-10,0
2019-06-11,0
2019-06-12,1
2019-06-13,0
2019-06-14,1
2019-06-15,1
2019-06-16,0
2019-06-17,0
2019-06-18,7
2019-06-19,1
2019-06-20,1
2019-06-21,0
2019-06-22,0
2019-06-23,0
2019-06-24,1
2019-06-25,0
2019-06-26,1
2019-06-27,2
2019-06-28,8
2019-06-29,15
2019-06-30,10
2019-07-01,3
2019-07-02,2
2019-07-03,6
2019-07-04,2
2019-07-05,3
2019-07-06,2
2019-07-07,0
2019-07-08,4
2019-07-09,0
2019-07-10,1
2019-07-11,1
2019-07-12,0
2019-07-13,0
2019-07-14,3
2019-07-15,1
2019-07-16,0
2019-07-17,1
2019-07-18,4
2019-07-19,5
2019-07-20,8
2019-07-21,6
2019-07-22,1
2019-07-23,1
2019-07-24,2
2019-07-25,2
2019-07-26,1
2019-07-27,5
2019-07-28,4
2019-07-29,3
2019-07-30,1
2019-07-31,2
2019-08-01,1
2019-08-02,0
2019-08-03,1
2019-08-04,1
2019-08-05,0
2019-08-06,1
2019-08-07,1
2019-08-08,1
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,1
2019-08-15,0
2019-08-16,1
2019-08-17,3
2019-08-18,3
2019-08-19,0
2019-08-20,1
2019-08-21,2
2019-08-22,0
2019-08-23,0
2019-08-24,1
2019-08-25,1
2019-08-26,1
2019-08-27,0
2019-08-28,0
2019-08-29,2
2019-08-30,0
2019-08-31,2
2019-09-01,1
2019-09-02,1
2019-09-03,0
2019-09-04,0
2019-09-05,1
2019-09-06,0
2019-09-07,0
2019-09-08,0
2019-09-09,0
2019-09-10,2
2019-09-11,0
2019-09-12,0
2019-09-13,0
2019-09-14,1
2019-09-15,0
2019-09-16,1
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-21,0
2019-09-22,2
2019-09-23,0
2019-09-24,1
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,0
2019-10-01,0
2019-10-02,1
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,0
2019-10-07,0
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,0
2019-10-13,0
2019-10-14,0
2019-10-15,0
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,1
2019-11-02,0
2019-11-03,0
2019-11-04,1
