天数,销量
2019-06-17,1
2019-06-18,2
2019-06-19,0
2019-06-20,4
2019-06-21,0
2019-06-22,0
2019-06-23,1
2019-06-24,0
2019-06-25,2
2019-06-26,3
2019-06-27,8
2019-06-28,8
2019-06-29,10
2019-06-30,7
2019-07-01,1
2019-07-02,2
2019-07-03,0
2019-07-04,0
2019-07-05,2
2019-07-06,3
2019-07-07,13
2019-07-08,8
2019-07-09,9
2019-07-10,11
2019-07-11,11
2019-07-12,10
2019-07-13,13
2019-07-14,4
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-07-20,0
2019-07-21,0
2019-07-22,0
2019-07-23,1
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-27,5
2019-07-28,1
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,0
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-17,0
2019-08-18,0
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-24,0
2019-08-25,0
2019-08-26,0
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,0
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,0
2019-09-07,0
2019-09-08,0
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
2019-09-14,0
2019-09-15,0
2019-09-16,0
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-21,0
2019-09-22,0
2019-09-23,0
2019-09-24,0
2019-09-25,193
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,0
2019-10-01,0
2019-10-02,0
2019-10-03,0
2019-10-04,0
2019-10-05,0
2019-10-06,0
2019-10-07,0
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,0
2019-10-13,0
2019-10-14,0
2019-10-15,0
2019-10-16,0
2019-10-17,0
2019-10-18,0
2019-10-19,0
2019-10-20,0
2019-10-21,0
2019-10-22,0
2019-10-23,0
2019-10-24,0
2019-10-25,0
2019-10-26,0
2019-10-27,0
2019-10-28,0
2019-10-29,0
2019-10-30,0
2019-10-31,0
2019-11-01,0
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,0
2019-11-10,0
2019-11-11,3
2019-11-12,108
2019-11-13,149
2019-11-14,52
2019-11-15,41
2019-11-16,19
2019-11-17,5
2019-11-18,0
2019-11-19,0
2019-11-20,1
2019-11-21,47
2019-11-22,44
2019-11-23,27
2019-11-24,22
2019-11-25,33
2019-11-26,42
2019-11-27,30
2019-11-28,29
2019-11-29,63
2019-11-30,55
2019-12-01,54
2019-12-02,77
2019-12-03,83
2019-12-04,75
2019-12-05,66
2019-12-06,84
2019-12-07,7
2019-12-08,0
2019-12-09,0
2019-12-10,17
2019-12-11,48
2019-12-12,246
2019-12-13,57
2019-12-14,23
2019-12-15,1
2019-12-16,4
2019-12-17,3
2019-12-18,7
2019-12-19,0
2019-12-20,0
2019-12-21,0
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,0
2019-12-29,0
2019-12-30,10
2019-12-31,7
2020-01-01,13
2020-01-02,3
2020-01-03,9
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,1
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,2
2020-02-24,1
