天数,销量
2019-10-31,1
2019-11-01,1
2019-11-02,0
2019-11-03,0
2019-11-04,0
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-09,1
2019-11-10,7
2019-11-11,2
2019-11-12,0
2019-11-13,0
2019-11-14,0
2019-11-15,0
2019-11-16,0
2019-11-17,0
2019-11-18,1
2019-11-19,1
2019-11-20,2
2019-11-21,0
2019-11-22,0
2019-11-23,1
2019-11-24,0
2019-11-25,1
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,0
2019-11-30,0
2019-12-01,1
2019-12-02,0
2019-12-03,0
2019-12-04,0
2019-12-05,1
2019-12-06,0
2019-12-07,0
2019-12-08,0
2019-12-09,0
2019-12-10,0
2019-12-11,1
2019-12-12,2
2019-12-13,0
2019-12-14,1
2019-12-15,2
2019-12-16,0
2019-12-17,0
2019-12-18,1
2019-12-19,1
2019-12-20,0
2019-12-21,1
2019-12-22,0
2019-12-23,0
2019-12-24,0
2019-12-25,0
2019-12-26,0
2019-12-27,0
2019-12-28,1
2019-12-29,1
2019-12-30,0
2019-12-31,1
2020-01-01,0
2020-01-02,0
2020-01-03,6
2020-01-04,2
2020-01-05,1
2020-01-06,1
2020-01-07,1
2020-01-08,1
2020-01-09,4
2020-01-10,2
2020-01-11,1
2020-01-12,2
2020-01-13,3
2020-01-14,3
2020-01-15,1
2020-01-16,0
2020-01-17,1
2020-01-18,0
2020-01-19,3
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,1
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,1
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,1
2020-03-15,0
2020-03-16,0
2020-03-17,1
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,0
2020-03-22,2
2020-03-23,0
2020-03-24,0
2020-03-25,3
2020-03-26,1
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,1
2020-03-31,0
2020-04-01,0
2020-04-02,1
2020-04-03,1
2020-04-04,1
2020-04-05,1
2020-04-06,2
2020-04-07,1
2020-04-08,1
2020-04-09,2
2020-04-10,1
2020-04-11,1
2020-04-12,0
2020-04-13,1
2020-04-14,2
2020-04-15,1
2020-04-16,6
